Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","36,531,000","28,974,000","21,453,000","19,413,000","13,156,000","5,294,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"267,326,000","122,230,000","80,796,000","70,330,000","36,199,000","21,346,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"303,857,000","151,204,000","102,249,000","89,743,000","49,355,000","26,640,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-303,857,000","-151,204,000","-102,249,000","-89,743,000","-49,355,000","-26,640,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,965,000","-4,794,000","-1,922,000","-674,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,332,000","11,434,000","1,184,000","1,013,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"65,000","-30,562,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-294,490,000","-144,564,000","-102,987,000","-89,404,000","-49,290,000","-57,202,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"9,832,000","6,242,000","980,000","-865,000","-268,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-284,658,000","-138,322,000","-102,007,000","-90,269,000","-49,558,000","-57,202,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"4,302,000","3,867,000","19,000","-147,000","-59,000","218,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-288,960,000","-142,189,000","-102,026,000","-90,122,000","-49,499,000","-57,420,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-288,960,000","-142,189,000","-102,026,000","-90,122,000","-49,499,000","-57,420,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"95,905,850","71,172,870","34,806,349","20,098,340","16,087,785","2,344,191",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"95,905,850","71,172,870","34,806,349","20,098,340","16,087,785","2,344,191",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),50.515%,104.482%,73.180%,24.929%,586.283%,428.248%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.013,-1.998,-2.931,-4.484,-3.077,-24.495,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.013,-1.998,-2.931,-4.484,-3.077,-24.495,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-280,540,000","-129,190,000","-81,097,000","-76,844,000","-46,370,000","-25,599,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.925,-1.815,-2.330,-3.823,-2.882,-10.920,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-303,812,000","-151,154,000","-102,184,000","-89,664,000","-49,295,000","-26,623,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"45,000","50,000","65,000","79,000","60,000","17,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-303,857,000","-151,204,000","-102,249,000","-89,743,000","-49,355,000","-26,640,000",Upgrade,Financials in USD,Fiscal year is January - December
