Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","64,060,000","49,125,000","47,044,000","36,517,000","5,502,858",Financials in USD,Fiscal year is January - December
Research & Development,"181,609,000","158,658,000","179,214,000","182,891,000","37,700,578",Financials in USD,Fiscal year is January - December
Operating Expenses,"245,669,000","207,783,000","226,258,000","219,408,000","43,203,436",Financials in USD,Fiscal year is January - December
Operating Income,"-234,999,000","-207,783,000","-226,258,000","-219,408,000","-43,203,436",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,865,000","7,300,000","3,900,000","1,700,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,000","15,000","-17,359,000","-152,000","13,714",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-226,136,000","-200,468,000","-239,717,000","-217,860,000","-43,189,721",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"400,000","6,800,000","2,800,000","-1,430,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-225,136,000","-198,643,000","-241,317,000","-226,790,000","-111,975,447",Financials in USD,Fiscal year is January - December
Net Income,"-225,136,000","-198,643,000","-241,317,000","-226,790,000","-111,975,447",Financials in USD,Fiscal year is January - December
Net Income to Common,"-225,136,000","-198,643,000","-241,317,000","-226,790,000","-111,975,447",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"116,148,489","109,526,053","108,268,289","42,621,265","3,608,491",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"116,148,489","109,526,053","108,268,289","42,621,265","3,608,491",Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.409%,1.162%,154.024%,1081.138%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.938,-1.814,-2.229,-5.321,-31.031,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.938,-1.814,-2.229,-5.321,-31.031,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-192,266,000","-173,779,000","-221,692,000","-184,820,000","-24,978,861",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.655,-1.587,-2.048,-4.336,-6.922,Financials in USD,Fiscal year is January - December
EBITDA,"-234,497,000","-207,303,000","-226,217,000","-219,407,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"502,000","480,000","41,000","1,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-234,999,000","-207,783,000","-226,258,000","-219,408,000","-43,203,436",Financials in USD,Fiscal year is January - December
