Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"98,917,000","83,612,000","72,810,000","61,931,000","62,197,000","61,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.374%,14.836%,17.566%,-0.428%,1.458%,-3.290%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"82,194,000","74,908,000","68,733,000","64,351,000","59,472,000","58,464,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"16,723,000","8,704,000","4,077,000","-2,420,000","2,725,000","2,839,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,957,000","14,267,000","17,738,000","21,081,000","24,053,000","30,048,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"186,000","1,107,000","3,119,000","6,835,000","7,092,000","6,886,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,143,000","15,374,000","20,857,000","27,916,000","31,145,000","36,934,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"580,000","-6,670,000","-16,780,000","-30,336,000","-28,420,000","-34,095,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,073,000","-2,301,000","-1,936,000","-2,360,000","-1,879,000","-25,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"105,000","211,000","33,000","22,000","238,000","392,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,388,000","-8,760,000","-18,683,000","-32,674,000","-30,061,000","-33,728,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"152,000","321,000","4,000",-,"8,000","30,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,"-430,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-837,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,236,000","-8,439,000","-18,679,000","-32,674,000","-30,890,000","-34,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,236,000","-8,439,000","-18,679,000","-32,674,000","-30,890,000","-34,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"190,000","150,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,426,000","-8,589,000","-18,679,000","-32,674,000","-30,890,000","-34,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"30,013,373","23,322,915","14,304,512","8,526,186","6,874,698","5,538,050",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"30,013,373","23,322,915","14,304,512","8,526,186","6,874,698","5,538,050",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.853%,63.046%,67.772%,24.023%,24.136%,15.323%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.048,-0.368,-1.306,-3.832,-4.493,-6.162,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.048,-0.368,-1.306,-3.832,-4.493,-6.162,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"2,635,000","-9,696,000","-17,210,000","-34,056,000","-30,687,000","-27,842,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.088,-0.416,-1.203,-3.994,-4.464,-5.027,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,16.906%,10.410%,5.599%,-3.907%,4.381%,4.631%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,0.586%,-7.977%,-23.046%,-48.984%,-45.694%,-55.617%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1.442%,-10.272%,-25.654%,-52.759%,-49.665%,-55.671%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,2.664%,-11.596%,-23.637%,-54.990%,-49.338%,-45.417%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"2,767,000","-5,226,000","-16,204,000","-29,668,000","-27,586,000","-33,307,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,2.797%,-6.250%,-22.255%,-47.905%,-44.353%,-54.332%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,187,000","1,444,000","576,000","668,000","834,000","788,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"580,000","-6,670,000","-16,780,000","-30,336,000","-28,420,000","-34,095,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,0.586%,-7.977%,-23.046%,-48.983%,-45.694%,-55.617%,Upgrade,Financials in USD,Fiscal year is January - December
