Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,496,799,000","1,296,429,000","935,061,000","425,208,000","339,410,000","347,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),24.154%,38.646%,119.907%,25.279%,-2.282%,1.154%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"533,184,000","470,486,000","353,358,000","237,513,000","200,649,000","172,526,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"963,615,000","825,943,000","581,703,000","187,695,000","138,761,000","174,811,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","328,309,000","257,894,000","233,827,000","209,317,000","98,271,000","103,132,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"149,597,000","62,107,000","311,681,000","44,966,000","30,088,000","20,018,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"477,906,000","320,001,000","545,508,000","254,283,000","128,359,000","123,150,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"485,709,000","505,942,000","36,195,000","-66,588,000","10,402,000","51,661,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-19,665,000","-20,019,000","-7,185,000","-7,752,000","-9,479,000","-13,617,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"34,821,000","19,638,000","2,613,000","45,000","238,000","686,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-182,000","-21,000","-256,000","-274,000","-260,000","33,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-896,000","-5,086,000","-4,060,000","-7,121,000","2,220,000","-10,393,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"499,787,000","500,454,000","27,307,000","-81,690,000","3,121,000","28,370,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-11,900,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"6,254,000","51,789,000",-,"15,263,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"6,000,000","-132,000,000",-,"-9,500,000","-2,700,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-17,370,000","-9,300,000","-588,000","889,000",-,"257,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"570,163,000","410,943,000","26,719,000","-75,038,000","-11,479,000","28,627,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"142,551,000","84,282,000","-1,348,000","-3,759,000","1,994,000","-3,040,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"427,612,000","326,661,000","28,067,000","-71,279,000","-13,473,000","31,667,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"427,612,000","326,661,000","28,067,000","-71,279,000","-13,473,000","31,667,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,310.786%,1063.861%,-,-,-,-21.845%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"69,019,750","68,266,000","68,487,000","67,486,000","54,134,000","38,988,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"71,036,250","70,239,000","70,671,000","67,486,000","54,134,000","40,113,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.946%,-0.611%,4.719%,24.665%,34.954%,1.549%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),6.196,4.785,0.410,-1.056,-0.249,0.812,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),6.021,4.650,0.400,-1.060,-0.250,0.790,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,304.573%,1062.500%,-,-,-,-23.301%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"371,071,000","213,360,000","3,434,000","41,776,000","3,922,000","58,323,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,5.224,3.038,0.049,0.619,0.072,1.454,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,64.378%,63.709%,62.210%,44.142%,40.883%,50.329%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,32.450%,39.026%,3.871%,-15.660%,3.065%,14.873%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,28.568%,25.197%,3.002%,-16.763%,-3.970%,9.117%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,24.791%,16.458%,0.367%,9.825%,1.156%,16.791%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"548,063,000","565,985,000","84,124,000","-24,300,000","35,091,000","65,040,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,36.616%,43.657%,8.997%,-5.715%,10.339%,18.725%,Upgrade,Financials in USD,Fiscal year is January - December
