Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"7,332,000","622,000","240,000","934,000","605,000","2,202,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1218.705%,159.167%,-74.304%,54.380%,-72.525%,-30.250%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"7,332,000","622,000","240,000","934,000","605,000","2,202,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","164,762,000","135,320,000","108,708,000","126,756,000","61,018,000","46,456,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"201,854,000","226,665,000","242,200,000","191,602,000","140,260,000","112,062,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"366,616,000","361,985,000","350,908,000","318,358,000","201,278,000","158,518,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-359,284,000","-361,363,000","-350,668,000","-317,424,000","-200,673,000","-156,316,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-148,879,000","-129,198,000","-63,515,000","-14,849,000","-9,074,000","-5,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,272,000","1,131,000",-,-,"2,435,000","2,442,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,"-7,549,000","-12,107,000","-803,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-84,551,000","-84,435,000","16,914,000","4,808,000","15,000","-534,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-585,442,000","-581,414,000","-409,376,000","-328,268,000","-207,297,000","-160,328,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-13,000,000","-10,300,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-1,591,000","-1,591,000","-7,280,000","-8,715,000","1,471,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-886,000","-886,000","-681,000",-,"-10,660,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,000","-1,000","51,000","144,000","753,000","65,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-587,920,000","-583,892,000","-417,286,000","-349,839,000","-226,033,000","-160,263,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-40,000","-40,000","34,000","9,000","-1,846,000","-105,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-587,880,000","-583,852,000","-417,320,000","-349,848,000","-224,187,000","-160,158,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"86,000","656,000","753,000","3,058,000","2,336,000","2,381,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-587,794,000","-583,196,000","-416,567,000","-346,790,000","-221,851,000","-157,777,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-587,794,000","-583,196,000","-416,567,000","-346,790,000","-221,851,000","-157,777,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"681,335,842","508,635,592","399,900,374","389,234,156","377,067,527","366,324,859",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"681,335,842","508,635,592","399,900,374","389,234,156","377,067,527","366,324,859",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),54.094%,27.191%,2.740%,3.227%,2.933%,13.363%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.863,-1.147,-1.042,-0.891,-0.588,-0.431,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.877,-1.147,-1.042,-0.891,-0.588,-0.431,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-434,095,000","-397,341,000","-415,671,000","-307,982,000","-173,393,000","-156,396,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.637,-0.781,-1.039,-0.791,-0.460,-0.427,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-4900.218%,-58096.945%,-146111.667%,-33985.439%,-33169.091%,-7098.819%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-8016.830%,-93761.415%,-173569.583%,-37129.550%,-36669.587%,-7165.168%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-5920.554%,-63881.190%,-173196.250%,-32974.518%,-28660.000%,-7102.452%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-341,304,000","-342,851,000","-332,408,000","-303,186,000","-187,934,000","-142,274,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"17,980,000","18,512,000","18,260,000","14,238,000","12,739,000","14,042,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-359,284,000","-361,363,000","-350,668,000","-317,424,000","-200,673,000","-156,316,000",Upgrade,Financials in USD,Fiscal year is January - December
