Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","15,522,000","13,088,000","13,103,000","13,432,000","7,352,000","6,244,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"40,697,000","29,912,000","26,677,000","23,435,000","5,931,000","7,940,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"56,219,000","43,000,000","39,780,000","36,867,000","13,283,000","14,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-56,219,000","-43,000,000","-39,780,000","-36,867,000","-13,283,000","-14,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"34,553,000","-73,537,000","462,000","7,000","79,000","40,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-21,666,000","-116,537,000","-39,318,000","-36,860,000","-13,204,000","-14,144,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-5,182,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-48,648,000",-,-,"-1,867,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-4,829,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,666,000","-116,537,000","-87,966,000","-36,860,000","-23,215,000","-16,011,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-2,354,000","-404,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-21,666,000","-116,537,000","-87,966,000","-34,506,000","-22,811,000","-16,011,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"2,882,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,548,000","-116,537,000","-87,966,000","-34,506,000","-22,811,000","-16,011,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,591,670","24,619,197","14,285,254","14,819,582","1,451,432","655,526",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,591,670","24,619,197","14,285,254","14,819,582","1,451,432","655,526",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),86.634%,72.340%,-3.606%,921.032%,121.415%,31.027%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.636,-4.734,-6.158,-2.328,-15.716,-24.425,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.362,-4.734,-6.158,-2.328,-15.716,-24.425,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-37,415,000","-39,527,000","-28,424,000","-28,913,000","-15,212,000","-13,857,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.970,-1.606,-1.990,-1.951,-10.481,-21.139,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-36,862,000","-13,278,000","-14,175,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"5,000","5,000","9,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-56,219,000","-43,000,000","-39,780,000","-36,867,000","-13,283,000","-14,184,000",Upgrade,Financials in USD,Fiscal year is January - December
