Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"182,546,000","163,796,000","146,808,000","135,405,000","123,601,000","117,715,000","105,654,000","103,056,000","101,728,000","103,386,000","93,688,000","98,822,000","96,131,000","91,588,000","79,437,000","85,735,000","86,327,000","88,565,000","93,247,000","87,895,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),47.690%,39.146%,38.952%,31.390%,21.501%,13.860%,12.772%,4.284%,5.822%,12.882%,17.940%,15.264%,11.357%,3.413%,-14.810%,-2.457%,5.916%,22.569%,43.835%,31.518%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,867,000","2,024,000","2,535,000","1,877,000","1,645,000","1,574,000","1,386,000","1,480,000","1,339,000","1,316,000","1,250,000","1,354,000","1,275,000","1,384,000","1,268,000","1,254,000","1,216,000","1,234,000","1,878,000","1,436,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"179,679,000","161,772,000","144,273,000","133,528,000","121,956,000","116,141,000","104,268,000","101,576,000","100,389,000","102,070,000","92,438,000","97,468,000","94,856,000","90,204,000","78,169,000","84,481,000","85,111,000","87,331,000","91,369,000","86,459,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","73,745,000","66,935,000","56,268,000","47,152,000","45,262,000","43,281,000","48,564,000","42,323,000","35,163,000","37,813,000","37,549,000","32,285,000","30,533,000","30,029,000","29,509,000","25,696,000","26,523,000","25,572,000","27,535,000","27,131,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"59,336,000","58,745,000","58,505,000","54,707,000","45,517,000","43,277,000","40,851,000","36,754,000","33,292,000","32,825,000","28,120,000","28,519,000","28,091,000","28,232,000","29,022,000","28,275,000","33,869,000","26,497,000","26,123,000","24,312,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"133,081,000","125,680,000","114,773,000","101,859,000","90,779,000","86,558,000","89,415,000","79,077,000","68,455,000","70,638,000","65,669,000","60,804,000","58,624,000","58,261,000","58,531,000","53,971,000","60,392,000","52,069,000","53,658,000","51,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"46,598,000","36,092,000","29,500,000","31,669,000","31,177,000","29,583,000","14,853,000","22,499,000","31,934,000","31,432,000","26,769,000","36,664,000","36,232,000","31,943,000","19,638,000","30,510,000","24,719,000","35,262,000","37,711,000","35,016,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,345,000","6,004,000","5,493,000","5,140,000","5,208,000","3,347,000","3,581,000","1,777,000","1,070,000","630,000","80,000","72,000","72,000","110,000","275,000","297,000","622,000","1,010,000","1,471,000","1,444,000",Upgrade,Financials in USD,Fiscal year is January - December
