Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021",,
Revenue,"477,006","762,609","128,741","2,546,586","73,096","37,496","3,935",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),270.516%,-70.054%,76.126%,6691.620%,1757.586%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"303,148","1,586,567","102,990","-629,669","-20,208","37,173","5,849",Financials in USD,Fiscal year is January - December
Gross Profit,"173,858","-823,958","25,751","3,176,255","93,304",323,"-1,914",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,422,683","1,022,542","2,589,214","10,397,639","7,075,371","2,424,493","143,589",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,526,683","3,156,228","2,693,952","12,434,531","10,761,417","2,424,971","143,589",Financials in USD,Fiscal year is January - December
Operating Income,"-2,352,825","-3,980,186","-2,668,201","-9,258,276","-10,668,113","-2,424,648","-145,503",Financials in USD,Fiscal year is January - December
Interest Expense,"-81,021","-31,198","-48,842","-78,718","-36,606","-10,509",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,25,19,20,139,747,90,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-132,703","-3,952","45,667","-75,441","-180,990","107,782",-969,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"171,113","2,973","4,082",452,207,-1,55,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,395,411","-4,012,344","-2,667,274","-9,411,844","-10,884,755","-2,327,286","-146,417",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-250,000",-,-,"-250,000",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-265,119",464,"-43,970","-472,311",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-165,625","-4,495",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-24,665,564",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"339,551","2,800,334","10,422","67,075","12,760,356",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,221,485","-26,397,188","-2,656,388","-9,388,739","1,153,290","-2,327,286","-146,417",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,221,485","-26,397,188","-2,656,388","-9,388,739","1,153,290","-2,327,286","-146,417",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-461,405",-,"-3,221,494","324,809","-3,747,034","-4,131,559","-1,525,935",Financials in USD,Fiscal year is January - December
Net Income,"-2,682,890","-26,397,188","-5,877,882","-9,063,930","-2,593,744","-6,458,845","-1,672,352",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,682,890","-26,397,188","-5,877,882","-9,063,930","-2,593,744","-6,458,845","-1,672,352",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"472,084","62,266","50,366","41,282","33,544","24,148","16,412",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"472,084","62,266","50,366","41,282","33,544","24,148","16,412",Financials in USD,Fiscal year is January - December
Shares Change (YoY),837.307%,50.831%,50.149%,70.954%,104.387%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.683,-423.942,-116.703,-219.561,-77.324,-267.469,-101.898,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.683,-423.942,-116.703,-219.561,-77.324,-267.469,-101.898,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,935,873","-588,657","-913,419","-3,163,230","-8,617,112","-5,566,546","-1,566,988",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-8.337,-9.454,-18.136,-76.625,-256.890,-230.518,-95.478,Financials in USD,Fiscal year is January - December
Operating Margin,-493.249%,-521.917%,-2072.534%,-363.556%,-14594.660%,-6466.418%,-3697.662%,Financials in USD,Fiscal year is January - December
Profit Margin,-562.444%,-3461.431%,-4565.664%,-355.925%,-3548.408%,-17225.424%,-42499.416%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-825.120%,-77.190%,-709.501%,-124.215%,-11788.760%,-14845.706%,-39821.804%,Financials in USD,Fiscal year is January - December
EBITDA,"-2,350,876","-1,952,075","-620,996","-7,265,037","-9,159,345","-2,509,776","-21,131",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,949","2,028,111","2,047,205","1,993,239","1,508,768","-85,128","124,372",Financials in USD,Fiscal year is January - December
EBIT,"-2,352,825","-3,980,186","-2,668,201","-9,258,276","-10,668,113","-2,424,648","-145,503",Financials in USD,Fiscal year is January - December
