Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"9,779,000","7,876,000","5,729,000","1,260,000","231,000","215,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),35.857%,37.476%,354.683%,445.455%,7.442%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"62,069,000","61,542,000","73,123,000","75,655,000","40,357,000","26,002,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-52,290,000","-53,666,000","-67,394,000","-74,395,000","-40,126,000","-25,787,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,043,000","22,530,000","22,927,000","18,393,000","9,056,000","5,182,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,043,000","22,530,000","22,927,000","18,393,000","9,056,000","5,182,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-72,333,000","-76,196,000","-90,321,000","-92,788,000","-49,182,000","-30,969,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,138,000","6,999,000","2,223,000","281,000","199,000","524,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-6,084,000","-11,745,000","-42,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-65,085,000","-69,197,000","-88,098,000","-98,591,000","-60,728,000","-30,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-65,085,000","-69,197,000","-88,098,000","-98,591,000","-60,728,000","-30,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-65,085,000","-69,197,000","-88,098,000","-98,591,000","-60,728,000","-30,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,098,126","37,811,984","37,358,425","33,196,712","2,102,328","1,993,477",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,098,126","37,811,984","37,358,425","33,196,712","2,102,328","1,993,477",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.016%,1.214%,12.537%,1479.045%,5.460%,20.757%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.708,-1.830,-2.358,-2.970,-28.886,-15.293,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.708,-1.830,-2.358,-2.970,-28.886,-15.293,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-61,171,000","-69,731,000","-78,457,000","-59,404,000","-50,570,000","-26,851,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.606,-1.844,-2.100,-1.789,-24.054,-13.469,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-739.677%,-967.445%,-1576.558%,-7364.127%,-21290.909%,-14404.186%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-665.559%,-878.580%,-1537.755%,-7824.683%,-26289.177%,-14180.000%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-625.534%,-885.361%,-1369.471%,-4714.603%,-21891.775%,-12488.837%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-70,511,000","-74,342,000","-88,655,000","-91,595,000","-48,571,000","-30,634,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,822,000","1,854,000","1,666,000","1,193,000","611,000","335,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-72,333,000","-76,196,000","-90,321,000","-92,788,000","-49,182,000","-30,969,000",Upgrade,Financials in USD,Fiscal year is January - December
