Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"19,570,000","94,694,000","59,120,000","41,848,000","43,735,000","18,170,000","25,260,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-55.253%,421.156%,134.046%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"31,257,000","32,035,000","28,608,000","28,291,000","22,191,000","26,300,000","23,102,000","15,685,000","18,958,000","16,248,000","15,718,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-11,687,000","62,659,000","30,512,000","13,557,000","21,544,000","-8,130,000","2,158,000","-15,685,000","-18,958,000","-16,248,000","-15,718,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,971,000","9,236,000","9,399,000","8,652,000","7,532,000","8,169,000","7,938,000","9,894,000","6,978,000","7,334,000","6,433,000","6,098,000","3,851,000","3,081,000","2,170,000","1,997,000","1,273,000","1,147,500","1,147,500",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,"12,362,000","10,513,000","6,829,000","6,223,000","6,656,000","5,700,000","4,373,000","4,373,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"9,971,000","9,236,000","9,399,000","8,652,000","7,532,000","8,169,000","7,938,000","9,894,000","6,978,000","7,334,000","6,433,000","18,460,000","14,364,000","9,910,000","8,393,000","8,653,000","6,973,000","5,520,500","5,520,500",Financials in USD,Fiscal year is January - December
Operating Income,"-21,658,000","53,423,000","21,113,000","4,905,000","14,012,000","-16,299,000","-5,780,000","-25,579,000","-25,936,000","-23,582,000","-22,151,000","-18,460,000","-14,364,000","-9,910,000","-8,393,000","-8,653,000","-6,973,000","-5,520,500","-5,520,500",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,"-66,000",-,-,-,"-17,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,766,000","4,366,000","4,214,000","4,292,000","4,051,000","4,218,000","2,657,000","950,000","799,000","403,000","480,000","87,000",-,"9,000","13,000","164,000",-,"90,500","90,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-164,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,892,000","57,789,000","25,327,000","9,197,000","18,063,000","-12,081,000","-3,123,000","-24,629,000","-25,137,000","-23,179,000","-21,671,000","-18,373,000","-14,430,000","-9,901,000","-8,380,000","-8,653,000","-6,990,000","-5,430,000","-5,430,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,"-74,000",-,-,-,"-20,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,892,000","57,789,000","25,327,000","9,197,000","18,063,000","-12,081,000","-3,123,000","-24,629,000","-25,137,000","-23,179,000","-21,671,000","-18,447,000","-14,430,000","-9,901,000","-8,380,000","-8,673,000","-6,990,000","-5,430,000","-5,430,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-1,860,000","2,758,000","1,831,000","18,741,000","-17,398,000","13,847,000","3,551,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-14,032,000","55,031,000","23,496,000","-9,544,000","35,461,000","-25,928,000","-6,674,000","-24,629,000","-25,137,000","-23,179,000","-21,671,000","-18,447,000","-14,430,000","-9,901,000","-8,380,000","-8,673,000","-6,990,000","-5,430,000","-5,430,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,032,000","55,031,000","23,496,000","-9,544,000","35,461,000","-25,928,000","-6,674,000","-24,629,000","-25,137,000","-23,179,000","-21,671,000","-18,447,000","-14,430,000","-9,901,000","-8,380,000","-8,673,000","-6,990,000","-5,430,000","-5,430,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,629,602","34,180,549","33,497,072","33,368,901","33,281,287","33,163,320","32,374,299","31,351,770","31,298,052","31,275,306","31,246,916","20,779,674","1,475,170","1,309,535","1,256,487","1,184,691","1,139,647","1,048,022","1,048,022",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,629,602","35,507,029","34,790,925","33,368,901","34,775,451","33,163,320","32,374,299","31,351,770","31,298,052","31,275,306","31,246,916","20,779,674","1,475,170","1,309,535","1,256,487","1,184,691","1,139,647","1,048,022","1,048,022",Financials in USD,Fiscal year is January - December
Shares Change (YoY),16.834%,7.067%,7.465%,6.434%,11.111%,6.037%,3.608%,50.877%,2021.657%,2288.276%,2386.848%,1654.016%,29.441%,24.953%,19.891%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.345,1.610,0.701,-0.286,1.065,-0.782,-0.206,-0.786,-0.803,-0.741,-0.694,-0.888,-9.782,-7.561,-6.669,-7.321,-6.133,-5.181,-5.181,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.350,1.550,0.680,-0.286,1.020,-0.782,-0.210,-0.786,-0.803,-0.741,-0.694,-0.888,-9.782,-7.561,-6.669,-7.324,-6.133,-5.181,-5.181,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-24,905,000","38,787,000","-26,357,000","-4,989,000","-25,940,000","-36,613,000","201,731,000","-28,012,000","-28,292,000","-18,784,000","-21,585,000","-21,863,000","-14,881,000","-9,454,000","-9,244,000","-8,068,000","-5,882,000","-6,969,000","-6,969,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.613,1.092,-0.758,-0.150,-0.746,-1.104,6.231,-0.893,-0.904,-0.601,-0.691,-1.052,-10.088,-7.219,-7.357,-6.810,-5.161,-6.650,-6.650,Financials in USD,Fiscal year is January - December
Gross Margin,-59.719%,66.170%,51.610%,32.396%,49.260%,-44.744%,8.543%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-110.669%,56.416%,35.712%,11.721%,32.038%,-89.703%,-22.882%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-71.702%,58.115%,39.743%,-22.806%,81.082%,-142.697%,-26.421%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-127.261%,40.960%,-44.582%,-11.922%,-59.312%,-201.502%,798.618%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-20,721,000","54,333,000","22,047,000","5,641,000","14,846,000","-15,569,000","-5,239,000","-25,053,000","-25,420,000","-23,119,000","-21,761,000","-18,096,000","-14,062,000","-9,658,000","-8,194,000","-8,555,000","-6,883,000","-5,451,500","-5,451,500",Financials in USD,Fiscal year is January - December
EBITDA Margin,-105.881%,57.377%,37.292%,13.480%,33.945%,-85.685%,-20.740%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"937,000","910,000","934,000","736,000","834,000","730,000","541,000","526,000","516,000","463,000","390,000","364,000","302,000","252,000","199,000","98,000","90,000","69,000","69,000",Financials in USD,Fiscal year is January - December
EBIT,"-21,658,000","53,423,000","21,113,000","4,905,000","14,012,000","-16,299,000","-5,780,000","-25,579,000","-25,936,000","-23,582,000","-22,151,000","-18,460,000","-14,364,000","-9,910,000","-8,393,000","-8,653,000","-6,973,000","-5,520,500","-5,520,500",Financials in USD,Fiscal year is January - December
EBIT Margin,-110.669%,56.416%,35.712%,11.721%,32.038%,-89.703%,-22.882%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,4.772%,7.229%,203.773%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
