Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,"981,000","151,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"981,000","151,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","14,048,000","9,722,000","5,923,000",Financials in USD,Fiscal year is January - December
Research & Development,"56,346,000","35,979,000","22,044,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"70,394,000","45,701,000","27,967,000",Financials in USD,Fiscal year is January - December
Operating Income,"-69,413,000","-45,550,000","-27,967,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,964,000","2,786,000","291,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-59,000","10,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-63,508,000","-42,754,000","-27,676,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"47,625,000","47,625,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,883,000","4,871,000","-27,676,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"353,000","691,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-16,236,000","4,180,000","-27,676,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"3,613,000","3,613,000",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,849,000","567,000","-27,676,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,285,477","1,928,586","1,436,875",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,285,477","2,177,124","1,436,875",Financials in USD,Fiscal year is January - December
Shares Change (YoY),59.059%,51.518%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-8.685,0.294,-19.261,Financials in USD,Fiscal year is January - December
EPS (Diluted),-8.685,0.289,-19.261,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-58,039,000","-41,601,000","-24,592,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-25.395,-19.108,-17.115,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-7075.739%,-30165.563%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-2023.344%,375.497%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-5916.310%,-27550.331%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-68,157,000","-44,702,000","-27,390,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,256,000","848,000","577,000",Financials in USD,Fiscal year is January - December
EBIT,"-69,413,000","-45,550,000","-27,967,000",Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,14.186%,-,Financials in USD,Fiscal year is January - December
