Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2015,,
Operating Revenue,"67,635,000","67,635,000","79,204,000","86,160,000","97,074,000","122,473,000",Upgrade,Financials in USD,Fiscal year is October - September
Revenue,"67,635,000","67,635,000","79,204,000","86,160,000","97,074,000","122,473,000",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-14.607%,-14.607%,-8.073%,-11.243%,-20.738%,-40.314%,Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"67,635,000","67,635,000","79,204,000","86,160,000","97,074,000","122,473,000",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","57,850,000","57,850,000","52,887,000","45,482,000","32,536,000","27,356,000",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"131,476,000","131,476,000","163,524,000","164,522,000","174,111,000","136,756,000",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"189,326,000","189,326,000","216,411,000","210,004,000","206,647,000","164,112,000",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-121,691,000","-121,691,000","-137,207,000","-123,844,000","-109,573,000","-41,639,000",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-10,940,000","-10,940,000","-5,148,000",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,"13,632,000","13,632,000","8,504,000","2,744,000","2,021,000","6,471,000",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"73,000","73,000",-,"83,000","-27,000","149,000",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-118,926,000","-118,926,000","-133,851,000","-121,017,000","-107,579,000","-35,019,000",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,"1,138,000","1,138,000","2,856,000","-1,171,000",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-117,788,000","-117,788,000","-130,995,000","-122,188,000","-107,579,000","-35,019,000",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,"-1,743,000","-1,743,000","2,821,000","-433,000","-28,583,000","1,149,000",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-116,045,000","-116,045,000","-133,816,000","-121,755,000","-78,996,000","-36,168,000",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-116,045,000","-116,045,000","-133,816,000","-121,755,000","-78,996,000","-36,168,000",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"21,157,000","21,157,000","20,969,000","20,603,000","20,171,000","19,940,000",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"21,157,000","21,157,000","20,969,000","20,603,000","20,171,000","19,940,000",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),0.897%,0.897%,1.776%,2.142%,1.158%,-4.903%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-5.485,-5.485,-6.382,-5.910,-3.916,-1.814,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-5.485,-5.485,-6.382,-5.910,-3.916,-1.814,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-96,712,000","-96,712,000","-112,212,000","-86,907,000","-70,746,000","5,643,000",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-4.571,-4.571,-5.351,-4.218,-3.507,0.283,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-179.923%,-179.923%,-173.232%,-143.737%,-112.876%,-33.999%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-171.575%,-171.575%,-168.951%,-141.313%,-81.377%,-29.531%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-142.991%,-142.991%,-141.675%,-100.867%,-72.878%,4.608%,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-119,355,000","-119,355,000","-134,836,000","-120,871,000","-106,239,000","-37,995,000",Upgrade,Financials in USD,Fiscal year is October - September
EBITDA Margin,-176.469%,-176.469%,-170.239%,-140.287%,-109.441%,-31.023%,Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"2,336,000","2,336,000","2,371,000","2,973,000","3,334,000","3,644,000",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-121,691,000","-121,691,000","-137,207,000","-123,844,000","-109,573,000","-41,639,000",Upgrade,Financials in USD,Fiscal year is October - September
EBIT Margin,-179.923%,-179.923%,-173.232%,-143.737%,-112.876%,-33.998%,Upgrade,Financials in USD,Fiscal year is October - September
Revenue as Reported,"67,635,000","67,635,000","79,204,000","86,160,000","97,074,000",-,Upgrade,Financials in USD,Fiscal year is October - September
