Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"70,774,000","64,979,000","77,063,000","91,524,000","74,568,000","58,716,000","32,436,000","45,352,000","45,424,000","60,151,000","60,115,000","73,371,000","82,503,000","87,643,000","83,034,000","110,419,000","113,551,000","135,674,000","116,180,000","123,856,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"70,774,000","64,979,000","77,063,000","91,524,000","74,568,000","58,716,000","32,436,000","45,352,000","45,424,000","60,151,000","60,115,000","73,371,000","82,503,000","87,643,000","83,034,000","110,419,000","113,551,000","135,674,000","116,180,000","123,856,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-5.088%,10.667%,137.585%,101.808%,64.160%,-2.386%,-46.043%,-38.188%,-44.943%,-31.368%,-27.602%,-33.552%,-27.343%,-35.402%,-28.530%,-10.849%,1.672%,62.614%,213.171%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,741,000","28,368,000","34,586,000","110,567,000","32,703,000","24,848,000","16,874,000","14,202,000","35,234,000","11,277,000","9,370,000","17,304,000","16,080,000","16,696,000","7,511,000","11,673,000","9,000,000","10,139,000","6,855,000","-51,435,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"50,033,000","36,611,000","42,477,000","-19,043,000","41,865,000","33,868,000","15,562,000","31,150,000","10,190,000","48,874,000","50,745,000","56,067,000","66,423,000","70,947,000","75,523,000","98,746,000","104,551,000","125,535,000","109,325,000","175,291,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","34,744,000","35,165,000","45,932,000","47,494,000","45,624,000","45,144,000","45,553,000","53,621,000","44,831,000","51,276,000","48,753,000","50,052,000","39,925,000","40,345,000","39,391,000","37,693,000","31,984,000","34,052,000","35,350,000","36,070,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"21,676,000","21,955,000","28,470,000","23,868,000","25,647,000","23,267,000","34,154,000","29,022,000","45,808,000","41,611,000","82,917,000","50,762,000","54,085,000","54,766,000","200,282,000","44,628,000","38,851,000","26,173,000","33,107,000","94,078,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"56,420,000","57,120,000","74,402,000","71,362,000","71,271,000","68,411,000","79,707,000","82,643,000","90,639,000","92,887,000","131,670,000","100,814,000","94,010,000","95,111,000","239,673,000","82,321,000","70,835,000","60,225,000","68,457,000","130,148,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,387,000","-20,509,000","-31,925,000","-90,405,000","-29,406,000","-34,543,000","-64,145,000","-51,493,000","-80,449,000","-44,013,000","-80,925,000","-44,747,000","-27,587,000","-24,164,000","-164,150,000","16,425,000","33,716,000","65,310,000","40,868,000","45,143,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,362,000","-5,334,000","-11,116,000","-10,619,000","-10,268,000","-9,943,000","-9,712,000","-9,385,000","-7,540,000","-6,580,000","-8,969,000","-5,793,000","-5,771,000","-5,747,000","-5,648,000","-5,671,000","-5,656,000","-5,408,000","-4,431,000","-4,483,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"2,800,000",-,-,-,"1,900,000",-,-,-,"1,400,000",-,-,-,"600,000",-,-,-,"1,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"239,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"998,000","25,552,000","2,869,000","-94,000","2,253,000","1,617,000","1,728,000","108,000","1,339,000","443,000","32,000","-1,785,000","30,000","11,000","61,000","-594,000","56,000","423,000","68,000","-1,076,000",Upgrade,Financials in USD,Fiscal year is January - December
