Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,"15,062",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,"17,275",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,"-2,213",-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,423,228","1,587,060","2,291,646",-,"2,164,560","1,800,536","2,116,266",-,"2,576,802","2,611,559","2,078,878","1,954,044","1,273,600","727,947","549,609","47,506","13,970",Financials in USD,Fiscal year is January - December
Research & Development,"1,581,376","2,357,974","1,749,128",-,"1,624,766","2,028,165","1,096,286",-,"1,278,922",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,004,604","3,945,034","4,040,774",-,"3,789,326","3,828,701","3,212,552",-,"3,855,724","2,611,559","2,078,878","1,954,044","1,273,600","727,947","549,609","47,506","13,970",Financials in USD,Fiscal year is January - December
Operating Income,"-3,004,604","-3,945,034","-4,040,774",-,"-3,789,326","-3,828,701","-3,212,552",-,"-3,855,724","-2,611,559","-2,078,878","-1,956,257","-1,273,600","-727,947","-549,609","-47,506","-13,970",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,"-6,388",-,-,-,-,-508,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"75,076","114,407","153,218",-,"131,740","117,191",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-70,306","-35,622","26,716",-,"44,996","113,426","-46,870",-,"-335,317","421,700","785,297","2,586,908","-252,508",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,999,834","-3,866,249","-3,860,840",-,"-3,612,590","-3,598,084","-3,265,810",-,"-4,191,041","-2,189,859","-1,293,581","630,143","-1,526,108","-727,947","-549,609","-47,506","-13,970",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,999,834","-3,866,249","-3,860,840",-,"-3,612,590","-3,598,084","-3,265,810",-,"-4,191,041","-2,189,859","-1,293,581","630,143","-1,526,108","-727,947","-549,609","-47,506","-13,970",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,"-165,146","-271,869",-,"-395,089","-468,535","-280,659",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-2,999,834","-3,866,249","-3,860,840",-,"-3,612,590","-3,763,230","-3,537,679",-,"-4,586,130","-2,658,394","-1,574,240","630,143","-1,526,108","-727,947","-549,609","-47,506","-13,970",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,999,834","-3,866,249","-3,860,840",-,"-3,612,590","-3,763,230","-3,537,679",-,"-4,586,130","-2,658,394","-1,574,240","630,143","-1,526,108","-727,947","-549,609","-47,506","-13,970",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,044,144","1,043,312","1,042,479",-,"1,258,050","1,306,401","1,303,652",-,"1,327,434","1,172,207","1,150,419","814,572","447,810","412,919","397,565","376,800","365,527",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,044,144","1,043,312","1,042,479",-,"1,258,050","1,306,401","1,303,652",-,"1,327,434","1,172,207","1,150,419","814,572","447,810","412,919","397,565","376,800","365,527",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-17.003%,-20.138%,-20.034%,-,-5.227%,11.448%,13.320%,-,196.428%,183.883%,189.366%,116.182%,22.511%,-,-,-,-,Financials in USD,Fiscal year is January - December
