Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"382,809,000","258,215,000","154,080,000","80,943,000","42,219,783","29,349,083",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),63.389%,67.585%,90.356%,91.718%,43.854%,72.791%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"193,403,000","167,173,000","118,815,000","79,770,000","53,791,426","39,504,238",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"189,406,000","91,042,000","35,265,000","1,173,000","-11,571,643","-10,155,155",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","69,295,000","62,586,000","70,301,000","55,186,000","39,220,868","28,080,386",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,868,000","3,300,000","3,614,000","2,846,000","5,907,013","2,343,848",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"71,713,000","66,610,000","74,630,000","58,747,000","45,843,234","31,269,172",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"117,693,000","24,432,000","-39,365,000","-57,574,000","-57,414,877","-41,424,327",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-17,266,000","-25,027,000","-19,279,000","-13,057,000","-11,985,066","-8,993,379",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,111,000","1,617,000","45,000","35,000","288,126","800,785",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-208,000","-287,000","-635,000","-252,000","-128,528","-227,322",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"102,330,000","735,000","-59,234,000","-70,848,000","-69,240,345","-49,844,243",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-7,500,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"11,527,421",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-2,100,000","-2,100,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-26,874,000","-26,874,000","-6,670,000","-800,000","991,797","-9,962,495",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"73,356,000","-28,239,000","-65,904,000","-71,648,000","-75,748,548","-48,279,317",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"5,224,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"68,132,000","-28,239,000","-65,904,000","-71,648,000","-75,748,548","-48,279,317",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"68,132,000","-28,239,000","-65,904,000","-71,648,000","-75,748,548","-48,279,317",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"230,467,251","223,977,315","197,874,895","139,578,538","86,145,052","54,348,136",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"237,826,688","223,977,315","197,874,895","139,578,538","86,145,052","54,348,136",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.994%,13.191%,41.766%,62.027%,58.506%,20.269%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.296,-0.126,-0.333,-0.513,-0.879,-0.888,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.280,-0.130,-0.333,-0.513,-0.879,-0.888,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"79,387,000","4,029,000","-73,419,000","-125,880,000","-114,729,638","-80,005,342",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.334,0.018,-0.371,-0.902,-1.332,-1.472,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,49.478%,35.258%,22.887%,1.449%,-27.408%,-34.601%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,30.745%,9.462%,-25.548%,-71.129%,-135.990%,-141.144%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,17.798%,-10.936%,-42.773%,-88.517%,-179.415%,-164.500%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,20.738%,1.560%,-47.650%,-155.517%,-271.744%,-272.599%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"125,894,000","32,755,000","-32,252,000","-52,078,000","-53,472,585","-38,166,179",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,32.887%,12.685%,-20.932%,-64.339%,-126.653%,-130.042%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,201,000","8,323,000","7,113,000","5,496,000","3,942,292","3,258,148",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"117,693,000","24,432,000","-39,365,000","-57,574,000","-57,414,877","-41,424,327",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,30.744%,9.462%,-25.548%,-71.129%,-135.990%,-141.143%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"42,219,783","29,349,083",Upgrade,Financials in USD,Fiscal year is January - December
