Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"406,859","704,848","700,433","58,465",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"301,445","604,132","511,433","1,185,630",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"105,414","100,716","189,000","-1,127,165",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,641,916","2,221,275","3,736,450","4,466,044","4,268,845","2,302,747","1,766,022","2,040,309","2,694,254","2,701,418","1,315,569","766,029","825,999","262,732","237,544","303,747","233,639","279,887","279,888",Financials in USD,Fiscal year is January - December
Research & Development,"109,365","-3,680","48,964","-198,921","219,238","846,853","1,082,237","1,205,651","1,175,480","1,293,467","455,092","437,326","269,925","529,542","88,237","101,651","102,921","160,168","160,168",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,751,281","2,217,595","3,785,414","4,267,123","4,488,083","3,149,600","2,848,259","3,245,960","3,869,734","3,994,885","1,770,661","1,203,355","1,095,924","792,274","325,781","405,398","336,560","440,055","440,056",Financials in USD,Fiscal year is January - December
Operating Income,"-2,645,867","-2,116,879","-3,596,414","-5,394,288","-4,488,083","-3,149,600","-2,848,259","-3,245,960","-3,869,734","-3,994,885","-1,770,661","-1,203,355","-1,095,924","-792,274","-325,781","-405,398","-336,560","-440,055","-440,056",Financials in USD,Fiscal year is January - December
Interest Expense,"-384,958","-361,315","-413,056","-188,532","-269,097","-213,996",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,998,"2,174","9,715","9,716",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"75,436","-31,602","28,507","3,507,820","-99,728","-1,674","1,615","28,035","3,072","30,303",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,955,389","-2,509,796","-3,980,963","-2,075,000","-4,856,908","-3,365,270","-2,846,644","-3,217,925","-3,866,662","-3,964,582","-1,770,661","-1,203,355","-1,095,924","-792,274","-325,781","-404,400","-334,386","-430,340","-430,340",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-1,700,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-10,261,000","-5,192,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-1,237,140","-2,293,576","-14,954,365",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-928,400","-248,000","226,400","-3,634,100","-490,000","-3,500,000",-,-,-,"-300,000","-300,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,883,789","-14,255,936","-11,240,139","-22,363,465","-5,346,908","-6,865,270","-2,846,644","-3,217,925","-3,866,662","-4,264,582","-2,070,661","-1,203,355","-1,095,924","-792,274","-325,781","-404,400","-334,386","-430,340","-430,340",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-56,384","50,768","-121,567","-12,593",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-3,827,405","-14,306,704","-11,118,572","-22,350,872","-5,346,908","-6,865,270","-2,846,644","-3,217,925","-3,866,662","-4,264,582","-2,070,661","-1,203,355","-1,095,924","-792,274","-325,781","-404,400","-334,386","-430,340","-430,340",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,"96,359","164,167","186,320","139,217","137,687","140,747","140,747","139,217","139,217",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,827,405","-14,306,704","-11,118,572","-22,350,872","-5,346,908","-6,865,270","-2,846,644","-3,217,925","-3,866,662","-4,264,582","-2,167,020","-1,367,522","-1,282,244","-931,491","-463,468","-545,147","-475,133","-569,557","-569,557",Financials in USD,Fiscal year is January - December
