Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,876,000","1,751,000","1,351,000","1,351,000","180,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),21.032%,29.608%,0%,650.556%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,876,000","1,751,000","1,351,000","1,351,000","180,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,358,000","10,230,000","13,008,000","30,703,000","22,598,000","8,965,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"9,570,000","14,635,000","25,582,000","36,888,000","41,793,000","31,342,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"18,928,000","24,865,000","38,590,000","67,591,000","64,391,000","40,307,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,052,000","-23,114,000","-37,239,000","-66,240,000","-64,211,000","-40,307,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-17,000","-87,000","-85,000","-206,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"186,000","421,000","495,000","198,000","116,000","184,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-6,000","-123,000","-829,000","431,000","355,000","-4,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"923,000","974,000","1,373,000","325,000","4,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,949,000","-21,842,000","-36,217,000","-65,373,000","-63,821,000","-40,333,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"100,000","100,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"635,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,949,000","-21,842,000","-36,117,000","-64,638,000","-63,821,000","-40,333,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"115,000","106,000","163,000","3,570,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-16,064,000","-21,948,000","-36,280,000","-68,208,000","-63,821,000","-40,333,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"496,000","922,000","3,001,000","4,029,000","2,848,000","2,248,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-15,568,000","-21,026,000","-33,279,000","-64,179,000","-60,973,000","-38,085,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-15,568,000","-21,026,000","-33,279,000","-64,179,000","-60,973,000","-38,085,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"39,043,580","38,996,463","39,093,246","39,023,643","29,984,284","24,645,714",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"39,043,580","38,996,463","39,093,246","39,023,643","29,984,284","24,645,714",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.013%,-0.248%,0.178%,30.147%,21.661%,8.738%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.399,-0.539,-0.851,-1.645,-2.033,-1.545,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.399,-0.539,-0.851,-1.645,-2.033,-1.545,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-16,574,000","-28,185,000","-50,086,000","-43,797,000","-48,166,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-0.425,-0.721,-1.283,-1.461,-1.954,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-908.955%,-1320.046%,-2756.403%,-4903.035%,-35672.778%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-829.851%,-1200.800%,-2463.286%,-4750.481%,-33873.889%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-946.545%,-2086.232%,-3707.328%,-24331.667%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-16,715,000","-22,812,000","-37,007,000","-66,179,000","-64,134,000","-40,230,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"337,000","302,000","232,000","61,000","77,000","77,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-17,052,000","-23,114,000","-37,239,000","-66,240,000","-64,211,000","-40,307,000",Upgrade,Financials in USD,Fiscal year is January - December
