Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","48,575,000","28,533,000","31,919,000","24,281,000","10,948,000","6,993,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"85,171,000","71,289,000","87,815,000","65,250,000","32,603,000","25,106,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"133,746,000","99,822,000","119,734,000","89,531,000","43,551,000","32,099,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-134,446,000","-99,822,000","-119,734,000","-89,531,000","-43,551,000","-32,099,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-252,000",-,-,-,-,"-2,658,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"28,023,000","24,611,000","7,448,000","2,963,000","1,945,000","1,287,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-563,000","-452,000","9,315,000","3,587,000","-271,000","-135,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-107,238,000","-75,663,000","-102,971,000","-82,981,000","-41,877,000","-33,605,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"27,000","-139,000","-1,228,000","-80,000","218,000","53,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-532,281,000","-75,802,000","-104,199,000","-86,848,000","-41,659,000","-33,552,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-532,281,000","-75,802,000","-104,199,000","-86,848,000","-41,659,000","-33,552,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-532,281,000","-75,802,000","-104,199,000","-86,848,000","-41,659,000","-33,552,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"239,162,250","218,880,000","216,721,000","197,887,000","97,530,000","206,672,024",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"239,162,250","218,880,000","216,721,000","197,887,000","97,530,000","206,672,024",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.326%,0.996%,9.518%,102.899%,-52.809%,155.185%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.226,-0.346,-0.481,-0.439,-0.427,-0.162,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.226,-0.346,-0.481,-0.440,-0.427,-0.162,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-99,328,000","-68,068,000","-96,478,000","-68,472,000","-36,674,000","-25,091,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.415,-0.311,-0.445,-0.346,-0.376,-0.121,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-133,927,000","-99,600,000","-119,535,000","-89,347,000","-43,448,000","-32,086,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"519,000","222,000","199,000","184,000","103,000","13,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-134,446,000","-99,822,000","-119,734,000","-89,531,000","-43,551,000","-32,099,000",Upgrade,Financials in USD,Fiscal year is January - December
