Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"1,512,723","2,238,991","23,904,181","60,876,078","55,237,759","3,441,807",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-63.058%,-90.633%,-60.733%,10.207%,1504.906%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"26,897,434","16,515,005","36,438,513","57,183,589","27,908,659","8,019,705",Financials in USD,Fiscal year is January - December
Gross Profit,"-25,384,711","-14,276,014","-12,534,332","3,692,489","27,329,100","-4,577,898",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","26,390,740","23,799,306","16,383,285","17,085,692","6,772,303","4,095,642",Financials in USD,Fiscal year is January - December
Operating Expenses,"26,390,740","23,799,306","16,383,285","17,085,692","6,772,303","4,095,642",Financials in USD,Fiscal year is January - December
Operating Income,"-51,775,451","-38,075,320","-28,917,617","-13,393,203","20,556,797","-8,673,540",Financials in USD,Fiscal year is January - December
Interest Expense,"-325,404","-315,284","-301,584","-294,459","-469,151","-428,476",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,633,670","584,966","71,072","23,115","26,131","113,133",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,944,305","-4,343,655","10,384,941","-4,145,580","3,996","2,594",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-45,522,880","-42,149,293","-18,763,188","-17,810,127","20,117,773","-8,986,289",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-44,493","-44,493","15,805",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"32,208","665,596",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-45,567,373","-42,193,786","-18,715,175","-17,144,531","20,117,773","-8,986,289",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"25,629",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-45,567,373","-42,193,786","-18,740,804","-17,144,531","20,117,773","-8,986,289",Financials in USD,Fiscal year is January - December
Net Income to Common,"-45,567,373","-42,193,786","-18,740,804","-17,144,531","20,117,773","-8,986,289",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,629,210","5,521,487","4,352,497","2,733,918","2,539,108","3,521,600",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,629,210","5,521,487","4,352,497","2,733,918","2,701,148","3,521,600",Financials in USD,Fiscal year is January - December
Shares Change (YoY),74.128%,26.858%,59.204%,1.213%,-23.298%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.281,-7.642,-4.306,-6.271,7.923,-2.552,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.281,-7.642,-4.306,-6.300,7.400,-2.600,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-38,556,287","-25,316,559","-25,625,925","-8,956,784","-2,726,907","-9,823,188",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.468,-4.585,-5.888,-3.276,-1.010,-2.789,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-52.436%,6.066%,49.475%,-133.008%,Financials in USD,Fiscal year is January - December
Operating Margin,-3422.666%,-1700.557%,-120.973%,-22.001%,37.215%,-252.005%,Financials in USD,Fiscal year is January - December
Profit Margin,-3012.275%,-1884.500%,-78.400%,-28.163%,36.420%,-261.092%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2548.800%,-1130.713%,-107.203%,-14.713%,-4.937%,-285.408%,Financials in USD,Fiscal year is January - December
EBITDA,"-46,911,196","-34,422,169","-25,748,188","-11,904,589","20,939,939","-8,476,330",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-107.714%,-19.555%,37.909%,-246.275%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,864,255","3,653,151","3,169,429","1,488,614","383,142","197,210",Financials in USD,Fiscal year is January - December
EBIT,"-51,775,451","-38,075,320","-28,917,617","-13,393,203","20,556,797","-8,673,540",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-120.973%,-22.001%,37.215%,-252.005%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,512,723","2,238,991","23,904,181","60,876,078","55,237,759","3,441,807",Financials in USD,Fiscal year is January - December
